#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.837318E-01   0.336365E+07   0.334978E+07   0.189510E+02  -0.979524E+01   0.379794E+06   0.334900E+07   0.336160E+07   0.334900E+07  -0.844319E-01   0.181915E+07   0.181897E+07   0.724831E+00
   0.865798E-01   0.322005E+07   0.320547E+07   0.169657E+02  -0.877078E+01   0.348001E+06   0.320577E+07   0.321790E+07   0.320577E+07  -0.808209E-01   0.174137E+07   0.174118E+07   0.720291E+00
   0.894278E-01   0.308232E+07   0.306704E+07   0.152199E+02  -0.786972E+01   0.319155E+06   0.306840E+07   0.308006E+07   0.306840E+07  -0.773575E-01   0.166676E+07   0.166657E+07   0.714051E+00
   0.922632E-01   0.295269E+07   0.293683E+07   0.136956E+02  -0.708281E+01   0.293250E+06   0.293912E+07   0.295034E+07   0.293912E+07  -0.740983E-01   0.159656E+07   0.159636E+07   0.703390E+00
   0.959213E-01   0.279820E+07   0.278185E+07   0.120060E+02  -0.621033E+01   0.263704E+06   0.278508E+07   0.279578E+07   0.278508E+07  -0.702149E-01   0.151290E+07   0.151271E+07   0.680406E+00
   0.995668E-01   0.265988E+07   0.264346E+07   0.105908E+02  -0.547929E+01   0.238237E+06   0.264723E+07   0.265745E+07   0.264723E+07  -0.667394E-01   0.143803E+07   0.143784E+07   0.646081E+00
   0.103212E+00   0.253824E+07   0.252217E+07   0.940433E+01  -0.486622E+01   0.216358E+06   0.252606E+07   0.253586E+07   0.252606E+07  -0.636846E-01   0.137222E+07   0.137204E+07   0.601318E+00
   0.106870E+00   0.243288E+07   0.241758E+07   0.840705E+01  -0.435077E+01   0.197580E+06   0.242118E+07   0.243061E+07   0.242118E+07  -0.610405E-01   0.131526E+07   0.131508E+07   0.548505E+00
   0.110516E+00   0.234283E+07   0.232864E+07   0.757053E+01  -0.391831E+01   0.181529E+06   0.233161E+07   0.234073E+07   0.233161E+07  -0.587823E-01   0.126661E+07   0.126645E+07   0.491517E+00
   0.114174E+00   0.226485E+07   0.225197E+07   0.685724E+01  -0.354947E+01   0.167594E+06   0.225409E+07   0.226295E+07   0.225409E+07  -0.568281E-01   0.122451E+07   0.122436E+07   0.433804E+00
   0.117819E+00   0.219662E+07   0.218513E+07   0.624571E+01  -0.323319E+01   0.155428E+06   0.218630E+07   0.219492E+07   0.218630E+07  -0.551190E-01   0.118769E+07   0.118756E+07   0.379374E+00
   0.121465E+00   0.213474E+07   0.212460E+07   0.571118E+01  -0.295671E+01   0.144586E+06   0.212484E+07   0.213324E+07   0.212484E+07  -0.535695E-01   0.115431E+07   0.115419E+07   0.330965E+00
   0.125123E+00   0.207599E+07   0.206703E+07   0.523419E+01  -0.270997E+01   0.134700E+06   0.206647E+07   0.207466E+07   0.206647E+07  -0.520979E-01   0.112260E+07   0.112250E+07   0.290463E+00
