#    L    TT             EE             BB             TE          
   249   0.523792E+04   0.236270E+01   0.229282E-01   0.619108E+02
   250   0.521969E+04   0.244431E+01   0.231061E-01   0.634767E+02
   251   0.520103E+04   0.252800E+01   0.232839E-01   0.650319E+02
   252   0.518171E+04   0.261399E+01   0.234615E-01   0.665751E+02
   253   0.516212E+04   0.270206E+01   0.236389E-01   0.681047E+02
   254   0.514194E+04   0.279249E+01   0.238162E-01   0.696208E+02
   255   0.512125E+04   0.288499E+01   0.239931E-01   0.711235E+02
   256   0.510014E+04   0.297992E+01   0.241699E-01   0.726126E+02
   257   0.507860E+04   0.307684E+01   0.243463E-01   0.740801E+02
   258   0.505655E+04   0.317611E+01   0.245225E-01   0.755386E+02
   259   0.503407E+04   0.327757E+01   0.246983E-01   0.769732E+02
   260   0.501124E+04   0.338123E+01   0.248738E-01   0.783990E+02
   261   0.498790E+04   0.348701E+01   0.250490E-01   0.797935E+02
   262   0.496407E+04   0.359512E+01   0.252237E-01   0.811791E+02
   263   0.494010E+04   0.370534E+01   0.253981E-01   0.825484E+02
   264   0.491556E+04   0.381773E+01   0.255721E-01   0.838940E+02
   265   0.489052E+04   0.393223E+01   0.257457E-01   0.852085E+02
   266   0.486520E+04   0.404904E+01   0.259188E-01   0.865142E+02
   267   0.483938E+04   0.416780E+01   0.260915E-01   0.877888E+02
   268   0.481320E+04   0.428887E+01   0.262637E-01   0.890472E+02
   269   0.478653E+04   0.441194E+01   0.264355E-01   0.902820E+02
   270   0.475966E+04   0.453710E+01   0.266067E-01   0.914932E+02
   271   0.473236E+04   0.466425E+01   0.267775E-01   0.926809E+02
   272   0.470487E+04   0.479371E+01   0.269477E-01   0.938376E+02
   273   0.467694E+04   0.492485E+01   0.271174E-01   0.949782E+02
   274   0.464875E+04   0.505829E+01   0.272865E-01   0.960805E+02
   275   0.462020E+04   0.519348E+01   0.274551E-01   0.971668E+02
   276   0.459146E+04   0.533066E+01   0.276231E-01   0.982147E+02
   277   0.456230E+04   0.546981E+01   0.277906E-01   0.992467E+02
   278   0.453293E+04   0.561087E+01   0.279575E-01   0.100240E+03
   279   0.450329E+04   0.575374E+01   0.281237E-01   0.101203E+03
   280   0.447339E+04   0.589843E+01   0.282894E-01   0.102150E+03
   281   0.444335E+04   0.604501E+01   0.284544E-01   0.103059E+03
   282   0.441290E+04   0.619318E+01   0.286189E-01   0.103937E+03
   283   0.438233E+04   0.634315E+01   0.287827E-01   0.104785E+03
   284   0.435155E+04   0.649485E+01   0.289458E-01   0.105601E+03
   285   0.432059E+04   0.664828E+01   0.291083E-01   0.106387E+03
   286   0.428935E+04   0.680327E+01   0.292702E-01   0.107135E+03
   287   0.425792E+04   0.695984E+01   0.294313E-01   0.107860E+03
   288   0.422636E+04   0.711796E+01   0.295918E-01   0.108547E+03
   289   0.419462E+04   0.727758E+01   0.297516E-01   0.109203E+03
   290   0.416275E+04   0.743853E+01   0.299107E-01   0.109829E+03
   291   0.413076E+04   0.760155E+01   0.300692E-01   0.110410E+03
   292   0.409836E+04   0.776552E+01   0.302269E-01   0.110967E+03
   293   0.406613E+04   0.793008E+01   0.303839E-01   0.111479E+03
   294   0.403364E+04   0.809670E+01   0.305401E-01   0.111968E+03
   295   0.400126E+04   0.826389E+01   0.306957E-01   0.112412E+03
   296   0.396860E+04   0.843313E+01   0.308505E-01   0.112825E+03
   297   0.393591E+04   0.860220E+01   0.310046E-01   0.113209E+03
   298   0.390302E+04   0.877332E+01   0.311579E-01   0.113546E+03
   299   0.387017E+04   0.894574E+01   0.313105E-01   0.113847E+03
   300   0.383719E+04   0.911797E+01   0.314624E-01   0.114109E+03
   301   0.380418E+04   0.929150E+01   0.316135E-01   0.114341E+03
   302   0.377120E+04   0.946557E+01   0.317639E-01   0.114543E+03
   303   0.373818E+04   0.964094E+01   0.319135E-01   0.114701E+03
   304   0.370512E+04   0.981760E+01   0.320623E-01   0.114813E+03
   305   0.367209E+04   0.999406E+01   0.322104E-01   0.114895E+03
   306   0.363901E+04   0.101711E+02   0.323578E-01   0.114940E+03
   307   0.360597E+04   0.103486E+02   0.325044E-01   0.114940E+03
   308   0.357296E+04   0.105282E+02   0.326503E-01   0.114917E+03
   309   0.354005E+04   0.107068E+02   0.327954E-01   0.114843E+03
   310   0.350710E+04   0.108853E+02   0.329398E-01   0.114739E+03
   311   0.347426E+04   0.110657E+02   0.330835E-01   0.114591E+03
   312   0.344152E+04   0.112453E+02   0.332265E-01   0.114413E+03
   313   0.340881E+04   0.114253E+02   0.333687E-01   0.114190E+03
   314   0.337621E+04   0.116059E+02   0.335103E-01   0.113938E+03
   315   0.334370E+04   0.117856E+02   0.336511E-01   0.113642E+03
   316   0.331131E+04   0.119657E+02   0.337913E-01   0.113310E+03
   317   0.327901E+04   0.121450E+02   0.339308E-01   0.112940E+03
   318   0.324682E+04   0.123255E+02   0.340697E-01   0.112534E+03
   319   0.321481E+04   0.125050E+02   0.342079E-01   0.112091E+03
   320   0.318297E+04   0.126844E+02   0.343454E-01   0.111620E+03
   321   0.315124E+04   0.128642E+02   0.344824E-01   0.111104E+03
   322   0.311968E+04   0.130424E+02   0.346187E-01   0.110552E+03
   323   0.308830E+04   0.132204E+02   0.347544E-01   0.109964E+03
   324   0.305710E+04   0.133989E+02   0.348895E-01   0.109332E+03
   325   0.302614E+04   0.135742E+02   0.350241E-01   0.108679E+03
   326   0.299529E+04   0.137507E+02   0.351581E-01   0.107974E+03
   327   0.296468E+04   0.139264E+02   0.352915E-01   0.107242E+03
   328   0.293432E+04   0.141003E+02   0.354244E-01   0.106480E+03
   329   0.290414E+04   0.142740E+02   0.355568E-01   0.105675E+03
   330   0.287421E+04   0.144460E+02   0.356887E-01   0.104834E+03
   331   0.284460E+04   0.146170E+02   0.358201E-01   0.103965E+03
   332   0.281516E+04   0.147879E+02   0.359510E-01   0.103068E+03
   333   0.278598E+04   0.149570E+02   0.360815E-01   0.102135E+03
   334   0.275711E+04   0.151251E+02   0.362115E-01   0.101166E+03
   335   0.272842E+04   0.152908E+02   0.363411E-01   0.100161E+03
   336   0.270005E+04   0.154556E+02   0.364703E-01   0.991285E+02
   337   0.267200E+04   0.156194E+02   0.365990E-01   0.980530E+02
   338   0.264419E+04   0.157807E+02   0.367274E-01   0.969568E+02
   339   0.261679E+04   0.159419E+02   0.368554E-01   0.958253E+02
   340   0.258962E+04   0.161005E+02   0.369831E-01   0.946733E+02
   341   0.256271E+04   0.162568E+02   0.371104E-01   0.934787E+02
   342   0.253619E+04   0.164128E+02   0.372374E-01   0.922562E+02
   343   0.250998E+04   0.165656E+02   0.373641E-01   0.910060E+02
   344   0.248418E+04   0.167167E+02   0.374905E-01   0.897281E+02
   345   0.245861E+04   0.168654E+02   0.376167E-01   0.884227E+02
   346   0.243345E+04   0.170131E+02   0.377426E-01   0.870971E+02
   347   0.240860E+04   0.171576E+02   0.378682E-01   0.857365E+02
