#           k/h    P           
   0.188183E+00   0.236210E+04
   0.191985E+00   0.230618E+04
   0.195863E+00   0.224565E+04
   0.199820E+00   0.217857E+04
   0.203856E+00   0.210427E+04
   0.207974E+00   0.202362E+04
   0.212176E+00   0.193892E+04
   0.216462E+00   0.185331E+04
   0.220835E+00   0.177014E+04
   0.225296E+00   0.169237E+04
   0.229847E+00   0.162217E+04
   0.234490E+00   0.156073E+04
   0.239227E+00   0.150790E+04
   0.244060E+00   0.146202E+04
   0.248990E+00   0.142067E+04
   0.254020E+00   0.138112E+04
   0.259152E+00   0.134055E+04
   0.264387E+00   0.129709E+04
   0.269728E+00   0.125006E+04
   0.275177E+00   0.120000E+04
   0.280736E+00   0.114867E+04
   0.286407E+00   0.109827E+04
   0.292193E+00   0.105095E+04
   0.298096E+00   0.100816E+04
   0.304118E+00   0.970328E+03
   0.310261E+00   0.936682E+03
   0.316529E+00   0.905698E+03
   0.322923E+00   0.875650E+03
   0.329447E+00   0.845005E+03
   0.336102E+00   0.813008E+03
   0.342892E+00   0.780025E+03
   0.349819E+00   0.747010E+03
   0.356885E+00   0.715244E+03
   0.364095E+00   0.685774E+03
   0.371450E+00   0.658945E+03
   0.378954E+00   0.634338E+03
   0.386609E+00   0.611103E+03
   0.394419E+00   0.588280E+03
   0.402387E+00   0.565308E+03
   0.410516E+00   0.542228E+03
   0.418809E+00   0.519513E+03
   0.427269E+00   0.497816E+03
   0.435901E+00   0.477516E+03
   0.444706E+00   0.458581E+03
   0.453690E+00   0.440640E+03
   0.462855E+00   0.423209E+03
   0.472206E+00   0.406050E+03
   0.481745E+00   0.389186E+03
   0.491477E+00   0.372896E+03
   0.501405E+00   0.357399E+03
   0.511534E+00   0.342750E+03
   0.521868E+00   0.328787E+03
   0.532411E+00   0.315306E+03
   0.543166E+00   0.302192E+03
   0.554139E+00   0.289490E+03
   0.565333E+00   0.277296E+03
   0.576753E+00   0.265675E+03
   0.588404E+00   0.254570E+03
   0.600291E+00   0.243897E+03
   0.612418E+00   0.233590E+03
   0.624789E+00   0.223661E+03
   0.637411E+00   0.214142E+03
   0.650288E+00   0.205032E+03
   0.663424E+00   0.196305E+03
   0.676826E+00   0.187914E+03
   0.690499E+00   0.179847E+03
   0.704448E+00   0.172110E+03
   0.718679E+00   0.164697E+03
   0.733197E+00   0.157591E+03
   0.748009E+00   0.150773E+03
   0.763119E+00   0.144231E+03
   0.778536E+00   0.137959E+03
   0.794263E+00   0.131950E+03
   0.810308E+00   0.126191E+03
   0.826677E+00   0.120670E+03
   0.843378E+00   0.115377E+03
   0.860415E+00   0.110306E+03
   0.877797E+00   0.105447E+03
   0.895529E+00   0.100792E+03
   0.913620E+00   0.963347E+02
   0.932076E+00   0.920657E+02
   0.950906E+00   0.879780E+02
   0.970115E+00   0.840641E+02
   0.989713E+00   0.803172E+02
   0.100971E+01   0.767303E+02
   0.103010E+01   0.732970E+02
   0.105091E+01   0.700110E+02
   0.107214E+01   0.668665E+02
   0.109380E+01   0.638575E+02
   0.111590E+01   0.609787E+02
   0.113844E+01   0.582248E+02
   0.116144E+01   0.555905E+02
   0.118490E+01   0.530710E+02
   0.120884E+01   0.506615E+02
   0.123326E+01   0.483576E+02
   0.125817E+01   0.461546E+02
   0.128359E+01   0.440485E+02
   0.130952E+01   0.420352E+02
   0.133597E+01   0.401107E+02
   0.136296E+01   0.382712E+02
   0.139049E+01   0.365133E+02
   0.141858E+01   0.348333E+02
   0.144724E+01   0.332282E+02
   0.147648E+01   0.316946E+02
   0.150630E+01   0.302295E+02
   0.153673E+01   0.288301E+02
   0.156778E+01   0.274936E+02
   0.159945E+01   0.262171E+02
   0.163176E+01   0.249983E+02
   0.166472E+01   0.238345E+02
   0.169835E+01   0.227232E+02
   0.173266E+01   0.216622E+02
   0.176766E+01   0.206491E+02
   0.180337E+01   0.196819E+02
   0.183980E+01   0.187585E+02
   0.187697E+01   0.178769E+02
   0.191489E+01   0.170354E+02
   0.195357E+01   0.162324E+02
   0.199304E+01   0.154664E+02
   0.203330E+01   0.147358E+02
   0.207437E+01   0.140392E+02
   0.211628E+01   0.133753E+02
   0.215903E+01   0.127426E+02
