#    L    TT             EE             TE             PP             TP          
   223   0.552228E+04   0.938136E+00   0.195014E+02   0.259372E+07   0.208347E+04
   224   0.551939E+04   0.967448E+00   0.211147E+02   0.258176E+07   0.206680E+04
   225   0.551583E+04   0.998505E+00   0.227373E+02   0.256988E+07   0.205026E+04
   226   0.551168E+04   0.103131E+01   0.243658E+02   0.255808E+07   0.203385E+04
   227   0.550685E+04   0.106585E+01   0.260014E+02   0.254638E+07   0.201757E+04
   228   0.550150E+04   0.110214E+01   0.276427E+02   0.253475E+07   0.200141E+04
   229   0.549556E+04   0.114025E+01   0.292881E+02   0.252321E+07   0.198538E+04
   230   0.548895E+04   0.118017E+01   0.309385E+02   0.251175E+07   0.196947E+04
   231   0.548167E+04   0.122198E+01   0.325929E+02   0.250037E+07   0.195368E+04
   232   0.547387E+04   0.126561E+01   0.342500E+02   0.248908E+07   0.193801E+04
   233   0.546548E+04   0.131127E+01   0.359083E+02   0.247786E+07   0.192246E+04
   234   0.545635E+04   0.135883E+01   0.375683E+02   0.246673E+07   0.190703E+04
   235   0.544670E+04   0.140834E+01   0.392287E+02   0.245567E+07   0.189171E+04
   236   0.543638E+04   0.145982E+01   0.408893E+02   0.244469E+07   0.187651E+04
   237   0.542547E+04   0.151333E+01   0.425488E+02   0.243379E+07   0.186142E+04
   238   0.541397E+04   0.156895E+01   0.442070E+02   0.242296E+07   0.184644E+04
   239   0.540196E+04   0.162654E+01   0.458632E+02   0.241221E+07   0.183156E+04
   240   0.538920E+04   0.168615E+01   0.475151E+02   0.240153E+07   0.181680E+04
   241   0.537600E+04   0.174795E+01   0.491636E+02   0.239092E+07   0.180214E+04
   242   0.536222E+04   0.181178E+01   0.508077E+02   0.238039E+07   0.178759E+04
   243   0.534784E+04   0.187779E+01   0.524460E+02   0.236993E+07   0.177314E+04
   244   0.533288E+04   0.194590E+01   0.540793E+02   0.235954E+07   0.175879E+04
   245   0.531733E+04   0.201620E+01   0.557044E+02   0.234922E+07   0.174454E+04
   246   0.530126E+04   0.208867E+01   0.573230E+02   0.233897E+07   0.173039E+04
   247   0.528468E+04   0.216325E+01   0.589326E+02   0.232879E+07   0.171634E+04
   248   0.526751E+04   0.224030E+01   0.605334E+02   0.231868E+07   0.170238E+04
   249   0.524991E+04   0.231931E+01   0.621245E+02   0.230863E+07   0.168852E+04
   250   0.523171E+04   0.240071E+01   0.637045E+02   0.229865E+07   0.167475E+04
   251   0.521308E+04   0.248422E+01   0.652740E+02   0.228874E+07   0.166107E+04
   252   0.519379E+04   0.257005E+01   0.668316E+02   0.227889E+07   0.164748E+04
   253   0.517422E+04   0.265797E+01   0.683758E+02   0.226910E+07   0.163398E+04
   254   0.515405E+04   0.274828E+01   0.699066E+02   0.225938E+07   0.162057E+04
   255   0.513338E+04   0.284068E+01   0.714241E+02   0.224972E+07   0.160725E+04
   256   0.511227E+04   0.293554E+01   0.729282E+02   0.224012E+07   0.159402E+04
   257   0.509073E+04   0.303240E+01   0.744108E+02   0.223059E+07   0.158087E+04
   258   0.506867E+04   0.313163E+01   0.758845E+02   0.222112E+07   0.156782E+04
   259   0.504619E+04   0.323309E+01   0.773346E+02   0.221171E+07   0.155485E+04
   260   0.502334E+04   0.333676E+01   0.787758E+02   0.220236E+07   0.154197E+04
   261   0.499998E+04   0.344258E+01   0.801859E+02   0.219307E+07   0.152918E+04
   262   0.497612E+04   0.355075E+01   0.815872E+02   0.218384E+07   0.151647E+04
   263   0.495212E+04   0.366106E+01   0.829722E+02   0.217467E+07   0.150385E+04
   264   0.492755E+04   0.377357E+01   0.843337E+02   0.216556E+07   0.149131E+04
   265   0.490246E+04   0.388821E+01   0.856641E+02   0.215650E+07   0.147886E+04
   266   0.487709E+04   0.400520E+01   0.869857E+02   0.214751E+07   0.146649E+04
   267   0.485122E+04   0.412415E+01   0.882764E+02   0.213857E+07   0.145421E+04
   268   0.482499E+04   0.424545E+01   0.895509E+02   0.212969E+07   0.144201E+04
   269   0.479825E+04   0.436878E+01   0.908018E+02   0.212087E+07   0.142990E+04
   270   0.477131E+04   0.449422E+01   0.920291E+02   0.211210E+07   0.141787E+04
   271   0.474394E+04   0.462169E+01   0.932330E+02   0.210339E+07   0.140592E+04
   272   0.471636E+04   0.475149E+01   0.944059E+02   0.209473E+07   0.139406E+04
   273   0.468836E+04   0.488302E+01   0.955627E+02   0.208613E+07   0.138227E+04
