#    L    TT             EE             BB             TE          
   241   0.638644E-02   0.168315E-04   0.131556E-04  -0.964060E-04
   242   0.630631E-02   0.169848E-04   0.131996E-04  -0.100418E-03
   243   0.622436E-02   0.171420E-04   0.132409E-04  -0.104217E-03
   244   0.614071E-02   0.173026E-04   0.132793E-04  -0.107794E-03
   245   0.605543E-02   0.174660E-04   0.133145E-04  -0.111138E-03
   246   0.596864E-02   0.176317E-04   0.133463E-04  -0.114238E-03
   247   0.588044E-02   0.177993E-04   0.133745E-04  -0.117086E-03
   248   0.579092E-02   0.179683E-04   0.133988E-04  -0.119670E-03
   249   0.570019E-02   0.181380E-04   0.134189E-04  -0.121980E-03
   250   0.560834E-02   0.183081E-04   0.134346E-04  -0.124007E-03
   251   0.551547E-02   0.184781E-04   0.134457E-04  -0.125742E-03
   252   0.542168E-02   0.186477E-04   0.134522E-04  -0.127191E-03
   253   0.532704E-02   0.188166E-04   0.134543E-04  -0.128360E-03
   254   0.523164E-02   0.189848E-04   0.134519E-04  -0.129258E-03
   255   0.513557E-02   0.191520E-04   0.134454E-04  -0.129892E-03
   256   0.503891E-02   0.193179E-04   0.134346E-04  -0.130269E-03
   257   0.494175E-02   0.194824E-04   0.134197E-04  -0.130397E-03
   258   0.484417E-02   0.196453E-04   0.134009E-04  -0.130283E-03
   259   0.474627E-02   0.198063E-04   0.133782E-04  -0.129936E-03
   260   0.464811E-02   0.199652E-04   0.133517E-04  -0.129361E-03
   261   0.454980E-02   0.201219E-04   0.133215E-04  -0.128568E-03
   262   0.445142E-02   0.202761E-04   0.132878E-04  -0.127562E-03
   263   0.435305E-02   0.204276E-04   0.132505E-04  -0.126353E-03
   264   0.425477E-02   0.205763E-04   0.132098E-04  -0.124947E-03
   265   0.415668E-02   0.207218E-04   0.131658E-04  -0.123351E-03
   266   0.405886E-02   0.208640E-04   0.131187E-04  -0.121574E-03
   267   0.396139E-02   0.210027E-04   0.130684E-04  -0.119623E-03
   268   0.386437E-02   0.211377E-04   0.130151E-04  -0.117505E-03
   269   0.376787E-02   0.212688E-04   0.129589E-04  -0.115228E-03
   270   0.367198E-02   0.213957E-04   0.128999E-04  -0.112799E-03
   271   0.357679E-02   0.215183E-04   0.128382E-04  -0.110226E-03
   272   0.348238E-02   0.216363E-04   0.127738E-04  -0.107516E-03
   273   0.338884E-02   0.217495E-04   0.127070E-04  -0.104677E-03
   274   0.329625E-02   0.218578E-04   0.126377E-04  -0.101716E-03
   275   0.320470E-02   0.219608E-04   0.125661E-04  -0.986405E-04
   276   0.311428E-02   0.220585E-04   0.124922E-04  -0.954586E-04
   277   0.302507E-02   0.221506E-04   0.124162E-04  -0.921774E-04
   278   0.293715E-02   0.222369E-04   0.123382E-04  -0.888044E-04
   279   0.285062E-02   0.223172E-04   0.122583E-04  -0.853471E-04
   280   0.276556E-02   0.223912E-04   0.121765E-04  -0.818130E-04
   281   0.268205E-02   0.224588E-04   0.120929E-04  -0.782097E-04
   282   0.260017E-02   0.225198E-04   0.120077E-04  -0.745445E-04
   283   0.252003E-02   0.225739E-04   0.119210E-04  -0.708250E-04
   284   0.244169E-02   0.226209E-04   0.118328E-04  -0.670588E-04
   285   0.236525E-02   0.226607E-04   0.117433E-04  -0.632531E-04
   286   0.229079E-02   0.226930E-04   0.116525E-04  -0.594157E-04
   287   0.221840E-02   0.227177E-04   0.115606E-04  -0.555539E-04
   288   0.214816E-02   0.227344E-04   0.114676E-04  -0.516753E-04
   289   0.208016E-02   0.227430E-04   0.113736E-04  -0.477873E-04
   290   0.201448E-02   0.227433E-04   0.112787E-04  -0.438975E-04
   291   0.195121E-02   0.227351E-04   0.111831E-04  -0.400133E-04
   292   0.189044E-02   0.227182E-04   0.110868E-04  -0.361423E-04
   293   0.183225E-02   0.226924E-04   0.109900E-04  -0.322919E-04
   294   0.177673E-02   0.226574E-04   0.108926E-04  -0.284696E-04
   295   0.172395E-02   0.226130E-04   0.107949E-04  -0.246829E-04
   296   0.167402E-02   0.225591E-04   0.106969E-04  -0.209393E-04
   297   0.162701E-02   0.224955E-04   0.105987E-04  -0.172463E-04
   298   0.158301E-02   0.224218E-04   0.105005E-04  -0.136114E-04
   299   0.154210E-02   0.223380E-04   0.104022E-04  -0.100421E-04
   300   0.150437E-02   0.222437E-04   0.103040E-04  -0.654591E-05
   301   0.146988E-02   0.221390E-04   0.102061E-04  -0.312904E-05
   302   0.143857E-02   0.220240E-04   0.101084E-04   0.207115E-06
   303   0.141034E-02   0.218991E-04   0.100109E-04   0.346242E-05
   304   0.138511E-02   0.217647E-04   0.991387E-05   0.663674E-05
   305   0.136278E-02   0.216211E-04   0.981717E-05   0.972993E-05
   306   0.134328E-02   0.214687E-04   0.972090E-05   0.127419E-04
   307   0.132650E-02   0.213078E-04   0.962511E-05   0.156724E-04
   308   0.131236E-02   0.211388E-04   0.952984E-05   0.185214E-04
   309   0.130076E-02   0.209621E-04   0.943513E-05   0.212887E-04
   310   0.129162E-02   0.207779E-04   0.934103E-05   0.239742E-04
   311   0.128486E-02   0.205867E-04   0.924759E-05   0.265778E-04
   312   0.128037E-02   0.203888E-04   0.915485E-05   0.290992E-04
   313   0.127806E-02   0.201845E-04   0.906285E-05   0.315385E-04
   314   0.127786E-02   0.199743E-04   0.897165E-05   0.338954E-04
   315   0.127967E-02   0.197584E-04   0.888128E-05   0.361698E-04
   316   0.128339E-02   0.195373E-04   0.879179E-05   0.383615E-04
   317   0.128895E-02   0.193112E-04   0.870323E-05   0.404705E-04
   318   0.129624E-02   0.190806E-04   0.861564E-05   0.424966E-04
   319   0.130519E-02   0.188458E-04   0.852907E-05   0.444396E-04
   320   0.131569E-02   0.186071E-04   0.844356E-05   0.462994E-04
   321   0.132767E-02   0.183649E-04   0.835916E-05   0.480759E-04
   322   0.134102E-02   0.181196E-04   0.827591E-05   0.497689E-04
   323   0.135567E-02   0.178714E-04   0.819386E-05   0.513784E-04
