#    L    TT             EE             BB             TE          
   360   0.211037E+04   0.189147E+02   0.639315E-05   0.668113E+02
   361   0.209070E+04   0.190246E+02   0.638355E-05   0.651216E+02
   362   0.207148E+04   0.191313E+02   0.637562E-05   0.634139E+02
   363   0.205266E+04   0.192357E+02   0.636926E-05   0.616906E+02
   364   0.203429E+04   0.193354E+02   0.636442E-05   0.599478E+02
   365   0.201631E+04   0.194328E+02   0.636101E-05   0.581916E+02
   366   0.199879E+04   0.195271E+02   0.635896E-05   0.564191E+02
   367   0.198172E+04   0.196167E+02   0.635820E-05   0.546324E+02
   368   0.196497E+04   0.197041E+02   0.635866E-05   0.528331E+02
   369   0.194882E+04   0.197883E+02   0.636026E-05   0.510190E+02
   370   0.193305E+04   0.198687E+02   0.636294E-05   0.491954E+02
   371   0.191766E+04   0.199453E+02   0.636660E-05   0.473584E+02
   372   0.190273E+04   0.200188E+02   0.637119E-05   0.455126E+02
   373   0.188825E+04   0.200885E+02   0.637663E-05   0.436551E+02
   374   0.187423E+04   0.201551E+02   0.638285E-05   0.417896E+02
   375   0.186058E+04   0.202180E+02   0.638977E-05   0.399161E+02
   376   0.184746E+04   0.202777E+02   0.639732E-05   0.380346E+02
   377   0.183479E+04   0.203330E+02   0.640542E-05   0.361482E+02
   378   0.182250E+04   0.203845E+02   0.641401E-05   0.342539E+02
   379   0.181066E+04   0.204329E+02   0.642301E-05   0.323561E+02
   380   0.179934E+04   0.204783E+02   0.643234E-05   0.304527E+02
   381   0.178840E+04   0.205170E+02   0.644194E-05   0.285467E+02
   382   0.177783E+04   0.205542E+02   0.645172E-05   0.266388E+02
   383   0.176779E+04   0.205868E+02   0.646163E-05   0.247276E+02
   384   0.175826E+04   0.206150E+02   0.647157E-05   0.228168E+02
   385   0.174904E+04   0.206409E+02   0.648149E-05   0.209049E+02
   386   0.174033E+04   0.206623E+02   0.649130E-05   0.189943E+02
   387   0.173200E+04   0.206793E+02   0.650093E-05   0.170848E+02
   388   0.172411E+04   0.206925E+02   0.651031E-05   0.151781E+02
   389   0.171666E+04   0.206998E+02   0.651937E-05   0.132742E+02
   390   0.170966E+04   0.207064E+02   0.652803E-05   0.113752E+02
   391   0.170310E+04   0.207077E+02   0.653623E-05   0.947985E+01
   392   0.169690E+04   0.207069E+02   0.654387E-05   0.759102E+01
   393   0.169123E+04   0.207009E+02   0.655090E-05   0.570801E+01
   394   0.168592E+04   0.206911E+02   0.655724E-05   0.383308E+01
