#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   131   0.362971E+04  -0.409062E+02   0.268505E-03  -0.409062E+02   0.109711E+01  -0.994897E-06   0.268505E-03  -0.994897E-06   0.911729E-07
   132   0.366342E+04  -0.413125E+02   0.265883E-03  -0.413125E+02   0.110078E+01  -0.100146E-05   0.265883E-03  -0.100146E-05   0.906398E-07
   133   0.369706E+04  -0.417039E+02   0.263301E-03  -0.417039E+02   0.110399E+01  -0.100670E-05   0.263301E-03  -0.100670E-05   0.901107E-07
   134   0.373070E+04  -0.420761E+02   0.260758E-03  -0.420761E+02   0.110673E+01  -0.101068E-05   0.260758E-03  -0.101068E-05   0.895856E-07
   135   0.376434E+04  -0.424321E+02   0.258255E-03  -0.424321E+02   0.110895E+01  -0.101348E-05   0.258255E-03  -0.101348E-05   0.890646E-07
   136   0.379784E+04  -0.427681E+02   0.255788E-03  -0.427681E+02   0.111062E+01  -0.101516E-05   0.255788E-03  -0.101516E-05   0.885475E-07
   137   0.383134E+04  -0.430864E+02   0.253359E-03  -0.430864E+02   0.111184E+01  -0.101579E-05   0.253359E-03  -0.101579E-05   0.880344E-07
   138   0.386478E+04  -0.433857E+02   0.250965E-03  -0.433857E+02   0.111252E+01  -0.101545E-05   0.250965E-03  -0.101545E-05   0.875252E-07
   139   0.389799E+04  -0.436650E+02   0.248607E-03  -0.436650E+02   0.111281E+01  -0.101419E-05   0.248607E-03  -0.101419E-05   0.870199E-07
   140   0.393128E+04  -0.439252E+02   0.246283E-03  -0.439252E+02   0.111250E+01  -0.101208E-05   0.246283E-03  -0.101208E-05   0.865186E-07
   141   0.396435E+04  -0.441642E+02   0.243992E-03  -0.441642E+02   0.111165E+01  -0.100921E-05   0.243992E-03  -0.100921E-05   0.860210E-07
   142   0.399742E+04  -0.443826E+02   0.241733E-03  -0.443826E+02   0.111034E+01  -0.100563E-05   0.241733E-03  -0.100563E-05   0.855274E-07
   143   0.403042E+04  -0.445805E+02   0.239506E-03  -0.445805E+02   0.110858E+01  -0.100141E-05   0.239506E-03  -0.100141E-05   0.850375E-07
   144   0.406320E+04  -0.447571E+02   0.237309E-03  -0.447571E+02   0.110629E+01  -0.996630E-06   0.237309E-03  -0.996630E-06   0.845514E-07
   145   0.409583E+04  -0.449118E+02   0.235143E-03  -0.449118E+02   0.110361E+01  -0.991349E-06   0.235143E-03  -0.991349E-06   0.840691E-07
   146   0.412854E+04  -0.450446E+02   0.233005E-03  -0.450446E+02   0.110033E+01  -0.985638E-06   0.233005E-03  -0.985638E-06   0.835906E-07
   147   0.416089E+04  -0.451539E+02   0.230895E-03  -0.451539E+02   0.109666E+01  -0.979568E-06   0.230895E-03  -0.979568E-06   0.831158E-07
   148   0.419308E+04  -0.452414E+02   0.228812E-03  -0.452414E+02   0.109247E+01  -0.973205E-06   0.228812E-03  -0.973205E-06   0.826447E-07
   149   0.422520E+04  -0.453055E+02   0.226756E-03  -0.453055E+02   0.108782E+01  -0.966620E-06   0.226756E-03  -0.966620E-06   0.821772E-07
   150   0.425703E+04  -0.453441E+02   0.224725E-03  -0.453441E+02   0.108278E+01  -0.959881E-06   0.224725E-03  -0.959881E-06   0.817134E-07
   151   0.428871E+04  -0.453601E+02   0.222718E-03  -0.453601E+02   0.107730E+01  -0.953043E-06   0.222718E-03  -0.953043E-06   0.812533E-07
